powertrain,price_bin,year_2018,year_2024
bev,$40k-$50k,0.6703062411164233,0.2999434497956614
bev,$60k+,0.0300749450833441,0.3384247950298006
bev,$50k-$60k,0.13470732652797518,0.24712244965380004
bev,$30k-$40k,0.15654477322651505,0.09595850653047978
bev,$0-$30k,0.008366714045742345,0.018550798990258206
cv,$30k-$40k,0.2756432901585869,0.3099271436261305
cv,$40k-$50k,0.2082597365125927,0.2073428726801199
cv,$50k-$60k,0.14446998883486137,0.13998971064182678
cv,$0-$30k,0.24671972419456564,0.20449754815581073
cv,$60k+,0.1249072602993934,0.13824272489611214
hev,$30k-$40k,0.44757092929863024,0.32956029043855195
hev,$40k-$50k,0.22007619337052553,0.28257304375229114
hev,$50k-$60k,0.09065057416371806,0.24411801906672925
hev,$60k+,0.11013306705450757,0.12473979938559426
hev,$0-$30k,0.1315692361126186,0.019008847356833388
phev,$40k-$50k,0.3392808071291171,0.47406157739350485
phev,$30k-$40k,0.5573548463078554,0.47532686630113874
phev,$50k-$60k,0.010717230008244023,0.04259805989034163
phev,$0-$30k,0.09252934479645114,0.007697174188106284
phev,$60k+,1.177717583323519e-4,3.163222269084774e-4
