listing_year,powertrain,vehicle_type,p
2018,bev,car,0.14583333333333334
2018,bev,cuv,0.005043859649122807
2018,bev,minivan,0.0010964912280701754
2018,cv,car,0.8817434210526316
2018,cv,cuv,0.9801535087719299
2018,cv,minivan,0.35268640350877195
2018,cv,pickup,0.6956688596491228
2018,cv,suv,0.7308114035087719
2018,hev,car,0.3762609649122807
2018,hev,cuv,0.14391447368421054
2018,hev,minivan,0.1793859649122807
2018,hev,pickup,0.020668859649122805
2018,phev,car,0.19144736842105264
2018,phev,cuv,0.056085526315789475
2019,bev,car,0.1398528442784977
2019,bev,cuv,0.05205359103887547
2019,bev,minivan,5.490885130683066e-5
2019,cv,car,0.8655282231495717
2019,cv,cuv,0.9766088293432902
2019,cv,minivan,0.38633867779486053
2019,cv,pickup,0.6922358884252141
2019,cv,suv,0.7820118603118823
2019,hev,car,0.35602899187349
2019,hev,cuv,0.14386119042389633
2019,hev,minivan,0.0680320667691632
2019,hev,pickup,9.88359323522952e-4
2019,hev,suv,7.687239182956292e-4
2019,phev,car,0.15649022622446737
2019,phev,cuv,0.05331649461893257
2020,bev,car,0.1522523007373123
2020,bev,cuv,0.06146063182821161
2020,cv,car,0.857596469511867
2020,cv,cuv,0.9721220601689898
2020,cv,minivan,0.3881922393843173
2020,cv,pickup,0.6909208331090899
2020,cv,suv,0.7767073892686077
2020,hev,car,0.3173672030568861
2020,hev,cuv,0.3366880146386093
2020,hev,minivan,0.12577363973951886
2020,hev,pickup,0.09111457940907379
2020,hev,suv,0.022173187664818902
2020,phev,car,0.08686292449276142
2020,phev,cuv,0.045046014746246164
2021,bev,car,0.1775072092278116
2021,bev,cuv,0.3113318380860835
2021,cv,car,0.8411299797073587
2021,cv,cuv,0.9767168642529104
2021,cv,minivan,0.31533696464808286
2021,cv,pickup,0.7262629499092171
2021,cv,suv,0.778703407027662
2021,hev,car,0.28361636227704795
2021,hev,cuv,0.3394211257075724
2021,hev,minivan,0.1816191391647976
2021,hev,pickup,0.2641247463419844
2021,hev,suv,0.1794830716650646
2021,phev,car,0.06445583680444301
2021,phev,cuv,0.05099861155612517
2022,bev,car,0.14904408895825205
2022,bev,cuv,0.3919235271166602
2022,bev,pickup,0.11071010534529847
2022,cv,car,0.8214007023019898
2022,cv,cuv,0.9567889192352712
2022,cv,minivan,0.22083495903238393
2022,cv,pickup,0.7106418259851737
2022,cv,suv,0.7552184939523995
2022,hev,car,0.20722785797893095
2022,hev,cuv,0.22205423332032775
2022,hev,minivan,0.14494732735076082
2022,hev,pickup,0.0030238002341006634
2022,hev,suv,0.11373390557939914
2022,phev,car,0.042138119391338276
2022,phev,cuv,0.04740538431525556
2023,bev,car,0.2243149072417365
2023,bev,cuv,0.5604576702137678
2023,bev,pickup,0.17624070063094455
2023,bev,suv,0.046567473396741686
2023,cv,car,0.82809115735945
2023,cv,cuv,0.9562105659666635
2023,cv,minivan,0.2363687729541388
2023,cv,pickup,0.7100009417082588
2023,cv,suv,0.7525190695922404
2023,hev,car,0.21795837649496186
2023,hev,cuv,0.19681702608531876
2023,hev,minivan,0.16183256427158865
2023,hev,pickup,6.591957811470006e-4
2023,hev,suv,0.1125812223373199
2023,phev,car,0.044213202749788114
2023,phev,cuv,0.09803182973914681
2024,bev,car,0.18908135004459467
2024,bev,cuv,0.6321175421302164
2024,bev,minivan,0.02506689198704408
2024,bev,pickup,0.21597897009810824
2024,bev,suv,0.08965873351171197
2024,cv,car,0.8110125334459936
2024,cv,cuv,0.9544665070647327
2024,cv,minivan,0.237759939914566
2024,cv,pickup,0.7045017133737033
2024,cv,suv,0.7436041872036803
2024,hev,car,0.22302023189222175
2024,hev,cuv,0.16842698211519505
2024,hev,minivan,0.12847955686992443
2024,hev,pickup,0.008261747171759846
2024,hev,suv,0.0913955780875933
2024,phev,car,0.061963103788198845
2024,phev,cuv,0.10228606299582219
