vehicle_type,price_bin,year_2018,year_2024
car,$40k-$50k,0.11607908549954958,0.08092457683489485
car,$30k-$40k,0.26208950311585927,0.3198408177417985
car,$60k+,0.04681205798140528,0.05729137181918537
car,$50k-$60k,0.051709511985203335,0.04147088793908687
cuv,$60k+,0.0992074573865948,0.06776350887715646
minivan,$50k-$60k,0.19540494020744906,0.24561677683681443
minivan,$40k-$50k,0.4792100354159345,0.6221114654389559
minivan,$60k+,0.016491389331963556,0.024671073472577135
car,$0-$30k,0.5233098414179825,0.5004723456650344
pickup,$60k+,0.1764266342485138,0.27400190205568326
pickup,$50k-$60k,0.28610955709602004,0.29508863425471377
pickup,$40k-$50k,0.38462680085613865,0.2884550225435952
pickup,$30k-$40k,0.13420560361710188,0.12081807645955822
cuv,$40k-$50k,0.17125495135708682,0.21532398712529677
cuv,$50k-$60k,0.11161441093090395,0.12512380751650204
cuv,$30k-$40k,0.4269204104947614,0.4239426888316899
cuv,$0-$30k,0.191002769830653,0.16784600764935484
minivan,$30k-$40k,0.2339569421539737,0.10754577516842305
pickup,$0-$30k,0.018631404182225638,0.021636364686449586
suv,$30k-$40k,0.10721697563250554,0.03569964255202322
suv,$0-$30k,0.04568454746838797,2.7002765299911316e-4
suv,$40k-$50k,0.2527955313894453,0.2644311266926399
suv,$50k-$60k,0.24328595503831602,0.1930381633062222
suv,$60k+,0.35101699047134516,0.5065610397961156
minivan,$0-$30k,0.07493669289067921,5.4909083229498847e-5
